Name,Frequency,Effect,Trigger,Target,Keywords,Effect 2
Abominable,Static,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage.",,,,"The user ignores the Recoil Keyword when attacking, and does not gain injuries from Massive Damage."
Absorb Force,Scene -  Free Action,The user takes damage as if the attack was one step less effective.,The user is damaged by a Physical Attack,,,"Trigger - The user is damaged by a Physical Attack
The user takes damage as if the attack was one step less effective."
Adaptability,Static,Increase the Damage of all Moves with which the user shares an Elemental Type by +1 Damage Base.,,,,Increase the Damage of all Moves with which the user shares an Elemental Type by +1 Damage Base.
Aerilate,At Will -  Free Action,The Move is Changed to Flying Type.,The User uses a Normal Type Damaging Move.,,,"Trigger - The User uses a Normal Type Damaging Move.
The Move is Changed to Flying Type."
Aftermath,Scene -  Free Action,"When the user is reduced to 0 HP or less, they create a Burst 1. Everything in the Burst loses ¼ of its Max Hit Points.",,,,"When the user is reduced to 0 HP or less, they create a Burst 1. Everything in the Burst loses ¼ of its Max Hit Points."
Air Lock,Scene -  Free Action,The weather is set to Normal as long as the Pokémon with Air Lock wants it to remain that way. The user may continue to sustain this effect as a Swift Action each round.,,,,The weather is set to Normal as long as the Pokémon with Air Lock wants it to remain that way. The user may continue to sustain this effect as a Swift Action each round.
Ambush,Scene -  Free Action,"The user may use a Melee Move with a Damage Base of 6 (before applying STAB or other modifiers) or lower as if it had the Priority keyword. If it hits, the target is Flinched.",,,,"The user may use a Melee Move with a Damage Base of 6 (before applying STAB or other modifiers) or lower as if it had the Priority keyword. If it hits, the target is Flinched."
Analytic,Static,"Whenever the user targets uses a damaging Move on a Pokémon or Trainer that have acted before it during Initiative this Round, that Move deals an additional +5 Damage.",,,,"Whenever the user targets uses a damaging Move on a Pokémon or Trainer that have acted before it during Initiative this Round, that Move deals an additional +5 Damage."
Anger Point,At-Will - Free Action,"When the Pokémon receives a Critical Hit, they become Enraged and gain +6 Attack Combat Stages.",,,,"When the Pokémon receives a Critical Hit, they become Enraged and gain +6 Attack Combat Stages."
Anticipation,At-Will - Swift Action,"The target reveals if they have any Moves that are Super-Effective against the Pokémon with Anticipation. You may not target a Pokémon or Trainer more than once per encounter with Anticipation. Anticipation only reveals whether the opponent does or does not have those moves, not the specific moves themselves.",,Pokémon or Trainers,,"Target - Pokémon or Trainers
The target reveals if they have any Moves that are Super-Effective against the Pokémon with Anticipation. You may not target a Pokémon or Trainer more than once per encounter with Anticipation. Anticipation only reveals whether the opponent does or does not have those moves, not the specific moves themselves."
