Pokemon:,HP,Attack,Defense,Special Attack,Special Defense,Speed,Type 1,Type 2,Overland,Sky,Swim,Levitate,Burrow,H Jump,L Jump,Power,Naturewalk,Capability 1,Capability 2,Capability 3,Capability 4,Capability 5,Capability 6,Capability 7,Capability 8,Capability 9,Size,Weight,EggGroup1,EggGroup2,Type1,Type2
Abomasnow,9,9,8,9,9,6,Grass,Ice,5,0,3,0,0,1,1,6,"Grassland, Forest, Tundra",Chilled,Freezer,-,-,-,-,-,-,-,Large,5,Monster,Plant,Grass,Ice
Abra,3,2,2,11,6,9,Psychic,,3,0,1,0,0,1,1,1,"Forest, Urban",Teleporter 2,Telepath,Telekinetic,Underdog,-,-,-,-,-,Small,2,Humanshape,-,Psychic,None
Absol,7,13,6,8,6,8,Dark,,7,0,4,0,0,2,2,3,"Grassland, Forest",Darkvision,Stealth,Tracker,-,-,-,-,-,-,Medium,3,Field,-,Dark,None
Accelgor,8,7,4,10,6,15,Bug,,8,0,6,0,0,2,3,3,Forest,-,-,-,-,-,-,-,-,-,Small,3,Bug,-,Bug,None
Aegislash,6,5,15,5,15,6,Ghost,Steel,1,0,2,6,0,1,2,5,-,Phasing,Invisibility,Dead Silent,Living Weapon,-,-,-,-,-,Medium,4,Mineral,-,Ghost,Steel
Aerodactyl,8,11,7,6,8,13,Rock,Flying,4,10,3,0,0,2,3,8,-,Mountable 1,-,-,-,-,-,-,-,-,Huge,4,Flying,-,Rock,Flying
Aggron,7,11,18,6,6,5,Steel,Rock,6,0,3,0,0,0,1,13,Cave,-,-,-,-,-,-,-,-,-,Large,6,Monster,-,Steel,Rock
Aipom,6,7,6,4,6,9,Normal,,7,0,4,0,0,2,2,2,Forest,Underdog,-,-,-,-,-,-,-,-,Small,2,Field,-,Normal,None
Alakazam,6,5,5,14,9,12,Psychic,,6,0,3,0,0,2,1,4,"Forest, Urban",Teleporter 3,Telekinetic,Telepath,-,-,-,-,-,-,Medium,3,Humanshape,-,Psychic,None
Alomomola,17,8,8,4,5,7,Water,,1,0,6,0,0,2,3,5,Ocean,Fountain,-,-,-,-,-,-,-,-,Medium,3,Water 1,Water 2,Water,None
Altaria,8,7,9,7,11,8,Dragon,Flying,3,6,2,0,0,2,2,4,-,Guster,-,-,-,-,-,-,-,-,Medium,2,Flying,Dragon,Dragon,Flying
Amaura,8,6,5,7,6,5,Rock,Ice,5,0,3,0,0,1,1,2,Tundra,Chilled,Freezer,Underdog,-,-,-,-,-,-,Medium,3,Monster,-,Rock,Ice
Ambipom,8,10,7,6,7,12,Normal,,7,0,4,0,0,3,4,4,Forest,-,-,-,-,-,-,-,-,-,Medium,2,Field,-,Normal,None
Amoonguss,11,9,7,9,8,3,Grass,Poison,5,0,1,0,0,1,1,4,"Grassland, Forest",Shrinkable,-,-,-,-,-,-,-,-,Small,1,Plant,-,Grass,Poison
Ampharos,9,8,8,12,9,6,Electric,,7,0,0,0,0,2,3,5,Grassland,Glow,Zapper,-,-,-,-,-,-,-,Medium,4,Monster,Field,Electric,None
Anorith,5,10,5,4,5,8,Rock,Bug,4,0,2,0,2,1,1,2,Cave,Gilled,Underdog,-,-,-,-,-,-,-,Small,2,Water 3,-,Rock,Bug
Arbok,6,9,7,7,8,8,Poison,,6,0,4,0,0,1,2,3,Grassland,Darkvision,Stealth,-,-,-,-,-,-,-,Medium,4,Field,Dragon,Poison,None
Arcanine,9,11,8,10,8,10,Fire,,8,0,4,0,0,2,3,8,"Grassland, Mountain",Firestarter,Tracker,Mountable 1,-,-,-,-,-,-,Large,5,Field,-,Fire,None
Arceus,12,12,12,12,12,12,Normal,,9,4,5,0,0,2,2,10,-,Aura Reader,Darkvision,Glow,Invisibility,Telekinetic,Telepath,Mountable 2,-,-,Gigantic,6,None,-,Normal,None
Archen,6,11,5,7,5,7,Rock,Flying,4,6,2,0,0,2,2,2,Mountain,Underdog,-,-,-,-,-,-,-,-,Small,1,Flying,Water 3,Rock,Flying
Archeops,8,14,7,11,7,11,Rock,Flying,5,8,3,0,0,3,4,4,Mountain,Mountable 1,-,-,-,-,-,-,-,-,Medium,3,Flying,Water 3,Rock,Flying
Ariados,7,9,7,6,6,4,Bug,Poison,6,0,3,0,0,2,2,3,"Grassland, Forest",Threaded,Wallclimber,Underdog,-,-,-,-,-,-,Medium,3,Bug,-,Bug,Poison
Armaldo,8,13,10,7,8,5,Rock,Bug,6,0,6,0,0,1,2,6,"Cave, Ocean",Gilled,-,-,-,-,-,-,-,-,Medium,4,Water 3,-,Rock,Bug
Aromatisse,10,7,7,10,9,3,Fairy,,4,6,2,0,0,1,1,2,-,Alluring,-,-,-,-,-,-,-,-,Small,2,Fairy,-,Fairy,None
Aron,5,7,10,4,4,3,Steel,Rock,3,0,1,0,0,0,0,5,Cave,Underdog,-,-,-,-,-,-,-,-,Small,4,Monster,-,Steel,Rock
Articuno,9,9,10,10,13,9,Ice,Flying,5,10,5,0,0,2,3,7,-,Freezer,Glow,Guster,Mountable 1,-,-,-,-,-,Large,4,Flying,-,Ice,Flying
Audino,10,6,9,6,9,5,Normal,,5,0,2,0,0,1,1,2,-,Underdog,-,-,-,-,-,-,-,-,Medium,3,Fairy,-,Normal,None
Aurorus,12,8,7,10,9,6,Rock,Ice,6,0,3,0,0,1,1,8,Tundra,Freezer,Mountable 2,-,-,-,-,-,-,-,Huge,6,Monster,-,Rock,Ice
Avalugg,10,12,18,4,5,3,Ice,,6,0,3,0,0,0,1,8,Tundra,Freezer,Mountable 3,-,-,-,-,-,-,-,Huge,6,Monster,-,Ice,None
Axew,5,9,6,3,4,6,Dragon,,4,0,2,0,0,1,1,3,"Cave, Mountain",Underdog,-,-,-,-,-,-,-,-,Small,2,Monster,Dragon,Dragon,None
Azelf,8,13,7,13,7,12,Psychic,,5,7,4,0,0,1,1,2,-,Aura Reader,Telekinetic,Telepath,-,-,-,-,-,-,Small,1,None,-,Psychic,None
